"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\yetig\OneDrive\Desktop\Programming\java\DiceFactory\src\PlayerDice.java", "Java", 0, 0, -5, -5
"Total", "-", 0, 0, -5, -5
